Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
ABYEX,"AB Cap Fund, Inc. - AB Emerging","2011-08-30","AllianceBernstein","Diversified Emerging Mkts","None","-15.250059999999998%","41.79%","False","-1.98681%","11.48%","False","1.61421%","12.1800005%","False","1.0857900999999999%","4.3899998%","False","0.5964","0.3696","$7.52","$6.4","$8.93","$7.6212","True","$7.4164","False","N/A","N/A"
ABAEX,"AB Cap Fund, Inc. - AB Emerging","2011-08-30","AllianceBernstein","Diversified Emerging Mkts","None","-15.50385%","41.79%","False","-2.2444999%","11.48%","False","1.35779%","12.1800005%","False","0.8177300000000001%","4.3899998%","False","0.5964","0.3696","$7.5","$6.39","$8.91","$7.6032","True","$7.3981","False","N/A","N/A"
ABCEX,"AB Cap Fund, Inc. - AB Emerging","2011-08-30","AllianceBernstein","Diversified Emerging Mkts","None","-13.777310000000002%","41.79%","False","2.11959%","11.48%","False","3.4926903%","12.1800005%","False","1.2653599999999998%","4.3899998%","False","0.5711","0.3639","$7.46","$6.35","$8.86","$7.565","True","$7.3594","False","N/A","N/A"
ABIEX,"AB Cap Fund, Inc. - AB Emerging","2011-08-30","AllianceBernstein","Diversified Emerging Mkts","None","-15.182799999999999%","41.79%","False","-1.99779%","11.48%","False","1.6081600000000003%","12.1800005%","False","1.08303%","4.3899998%","False","0.5964","0.3696","$7.44","$6.34","$8.84","$7.542","True","$7.3397","False","N/A","N/A"
ABKEX,"AB Cap Fund, Inc. - AB Emerging","2011-08-30","AllianceBernstein","Diversified Emerging Mkts","None","-15.50405%","41.79%","False","-2.24413%","11.48%","False","1.3657499%","12.1800005%","False","0.83276%","4.3899998%","False","0.5964","0.3696","$7.5299997","$6.41","$8.93","$7.6324","True","$7.42225","False","N/A","N/A"
ABREX,"AB Cap Fund, Inc. - AB Emerging","2011-08-30","AllianceBernstein","Diversified Emerging Mkts","None","-15.72108%","41.79%","False","-2.4783298%","11.48%","False","1.1113%","12.1800005%","False","0.5848%","4.3899998%","False","0.5964","0.3696","$7.56","$6.43","$8.96","$7.6612","True","$7.4477","False","N/A","N/A"
AWPYX,"AB Sustainable International Th","1996-09-30","AllianceBernstein","Foreign Large Growth","None","-13.34632%","34.5%","False","3.21477%","13.81%","False","6.784%","13.83%","False","4.7263097%","8.2200006%","False","0.97169995","0.0","$18.17","$15.13","$20.81","$18.326","True","$17.56655","False","N/A","N/A"
AWPAX,"AB Sustainable International Th","1994-06-01","AllianceBernstein","Foreign Large Growth","None","-13.537230000000001%","34.5%","False","2.9421698%","13.81%","False","6.519030000000001%","13.83%","False","4.4505%","8.2200006%","False","0.97169995","0.0","$17.5","$14.59","$20.09","$17.6542","True","$16.93735","False","N/A","N/A"
AWPCX,"AB Sustainable International Th","1995-02-07","AllianceBernstein","Foreign Large Growth","None","-14.23549%","34.5%","False","2.1601802%","13.81%","False","5.70369%","13.83%","False","3.6730397%","8.2200006%","False","0.97169995","0.0","$14.41","$12.06","$16.67","$14.5422","True","$13.9941","False","N/A","N/A"
AWPIX,"AB Sustainable International Th","2005-02-28","AllianceBernstein","Foreign Large Growth","None","-13.32805%","34.5%","False","3.1749300000000003%","13.81%","False","6.8202799999999995%","13.83%","False","4.8104700000000005%","8.2200006%","False","0.97169995","0.0","$18.07","$15.05","$20.7","$18.226","True","$17.4715","False","N/A","N/A"
AWPKX,"AB Sustainable International Th","2005-02-28","AllianceBernstein","Foreign Large Growth","None","-13.70224%","34.5%","False","2.81266%","13.81%","False","6.436999999999999%","13.83%","False","4.4190504%","8.2200006%","False","0.97169995","0.0","$17.32","$14.45","$19.91","$17.475","True","$16.7736","False","N/A","N/A"
AWPRX,"AB Sustainable International Th","2005-02-28","AllianceBernstein","Foreign Large Growth","None","-13.93251%","34.5%","False","2.49354%","13.81%","False","6.11708%","13.83%","False","4.09779%","8.2200006%","False","0.97169995","0.0","$16.81","$14.04","$19.37","$16.957","True","$16.29295","False","N/A","N/A"
ABIYX,"AB Trust - AB International Val","2001-03-28","AllianceBernstein","Foreign Large Value","None","-3.01841%","35.63%","False","3.1107198%","5.74%","False","2.6663698%","8.25%","False","3.2095100000000003%","4.29%","False","0.9903","0.0","$14.06","$10.44","$14.31","$13.772","False","$12.45725","False","N/A","N/A"
ABIAX,"AB Trust - AB International Val","2001-03-28","AllianceBernstein","Foreign Large Value","None","-3.24872%","35.63%","False","2.8507700000000002%","5.74%","False","2.40024%","8.25%","False","2.94305%","4.29%","False","0.9903","0.0","$13.72","$10.18","$13.97","$13.4464","False","$12.15505","False","N/A","N/A"
ABICX,"AB Trust - AB International Val","2001-03-28","AllianceBernstein","Foreign Large Value","None","-3.99625%","35.63%","False","2.06954%","5.74%","False","1.6351900999999998%","8.25%","False","2.1709099999999997%","4.29%","False","0.9903","0.0","$13.52","$9.97","$13.77","$13.252","False","$11.9353","False","N/A","N/A"
AIVIX,"AB Trust - AB International Val","2005-02-28","AllianceBernstein","Foreign Large Value","None","-3.05889%","35.63%","False","3.0887998999999997%","5.74%","False","2.7437301%","8.25%","False","3.36401%","4.29%","False","0.9903","0.0","$13.570001","$10.1","$13.8","$13.2872","False","$12.0466","False","N/A","N/A"
AIVKX,"AB Trust - AB International Val","2005-02-28","AllianceBernstein","Foreign Large Value","None","-3.2789699999999997%","35.63%","False","2.86246%","5.74%","False","2.4178099%","8.25%","False","2.98908%","4.29%","False","0.9903","0.0","$13.66","$10.13","$13.9","$13.3828","False","$12.0962","False","N/A","N/A"
AIVRX,"AB Trust - AB International Val","2003-11-02","AllianceBernstein","Foreign Large Value","None","-3.5235299999999996%","35.63%","False","2.57302%","5.74%","False","2.1344298%","8.25%","False","2.68518%","4.29%","False","0.9903","0.0","$13.62","$10.09","$13.87","$13.3486","False","$12.05495","False","N/A","N/A"
GEGAX,"Aberdeen Emerging Markets Fund ","2012-05-20","Aberdeen","Diversified Emerging Mkts","None","-26.59167%","41.79%","False","-4.05858%","11.48%","False","2.58031%","12.1800005%","False","0.13165%","4.3899998%","False","0.9768","0.0","$12.87","$11.17","$15.2","$13.1374","True","$12.74415","False","N/A","N/A"
GEGCX,"Aberdeen Emerging Markets Fund ","2012-05-20","Aberdeen","Diversified Emerging Mkts","None","-26.92267%","41.79%","False","-4.557%","11.48%","False","2.05561%","12.1800005%","False","-0.43929%","4.3899998%","False","0.9768","0.0","$12.7300005","$10.97","$14.98","$13.0036","True","$12.5514","False","N/A","N/A"
GEMRX,"Aberdeen Emerging Markets Fund ","2012-05-20","Aberdeen","Diversified Emerging Mkts","None","-26.73196%","41.79%","False","-4.2248502%","11.48%","False","2.40483%","12.1800005%","False","-0.10525000000000001%","4.3899998%","False","0.9768","0.0","$12.67","$11.0","$14.98","$12.9398","True","$12.55245","False","N/A","N/A"
ABEMX,"Aberdeen Emerging Markets Fund,","2007-05-10","Aberdeen","Diversified Emerging Mkts","None","-25.981900000000003%","41.79%","False","-3.73375%","11.48%","False","3.3251000000000004%","12.1800005%","False","0.55346%","4.3899998%","False","0.9768","0.0","$12.96","$11.28","$15.31","$13.2264","True","$12.8526","False","N/A","N/A"
AEMSX,"Aberdeen Emerging Markets Fund,","2009-11-22","Aberdeen","Diversified Emerging Mkts","None","-26.0897%","41.79%","False","-3.8720200000000005%","11.48%","False","3.18809%","12.1800005%","False","0.38470000000000004%","4.3899998%","False","0.9768","0.0","$12.89","$11.22","$15.25","$13.1552","True","$12.7898","False","N/A","N/A"
GLLAX,"Aberdeen Global Equity Fund Cla","2000-08-29","Aberdeen","Diversified Emerging Mkts","None","-23.35042%","41.79%","False","2.16594%","11.48%","False","6.2537899999999995%","12.1800005%","False","4.28398%","4.3899998%","False","0.97290003","0.0","$10.21","$9.77","$15.14","$10.3906","True","$12.13685","True","N/A","N/A"
GLLCX,"abrdn Emerging Markets ex-China","2001-02-28","Aberdeen","Diversified Emerging Mkts","None","-23.910801%","41.79%","False","1.45285%","11.48%","False","5.54178%","12.1800005%","False","3.60093%","4.3899998%","False","0.97290003","0.0","$9.05","$8.67","$13.79","$9.2192","True","$10.96955","True","N/A","N/A"
GWLRX,"abrdn Emerging Markets ex-China","2003-09-30","Aberdeen","Diversified Emerging Mkts","None","-23.7103%","41.79%","False","1.7762%","11.48%","False","5.8418296000000005%","12.1800005%","False","3.9257599999999995%","4.3899998%","False","0.97290003","0.0","$9.42","$9.02","$14.2","$9.5956","True","$11.33285","True","N/A","N/A"
GWLIX,"abrdn Emerging Markets ex-China","2004-06-28","Aberdeen","Diversified Emerging Mkts","None","-23.065540000000002%","41.79%","False","2.5188797999999997%","11.48%","False","6.59568%","12.1800005%","False","4.6356402%","4.3899998%","True","0.97290003","0.0","$10.3","$9.85","$15.25","$10.48","True","$12.24595","True","N/A","N/A"
GLLSX,"abrdn Emerging Markets ex-China","2000-08-29","Aberdeen","Diversified Emerging Mkts","None","-23.25181%","41.79%","False","2.37261%","11.48%","False","6.5057100000000005%","12.1800005%","False","4.59099%","4.3899998%","True","0.97290003","0.0","$10.46","$10.01","$15.45","$10.6482","True","$12.40805","True","N/A","N/A"
GIGAX,"Aberdeen International Equity F","2000-08-29","Aberdeen","Diversified Emerging Mkts","None","-25.067149999999998%","41.79%","False","-5.00882%","11.48%","False","1.8961700000000001%","12.1800005%","False","0.61192%","4.3899998%","False","0.9834","0.0","$10.52","$9.13","$12.35","$10.7956","True","$10.39805","False","N/A","N/A"
GIGCX,"Aberdeen International Equity F","2001-02-28","Aberdeen","Diversified Emerging Mkts","None","-25.497957999999997%","41.79%","False","-5.60426%","11.48%","False","1.24542%","12.1800005%","False","-0.06224%","4.3899998%","False","0.9834","0.0","$9.68","$8.3","$11.27","$9.935","True","$9.4923","False","N/A","N/A"
GIRRX,"Aberdeen International Equity F","2003-12-29","Aberdeen","Diversified Emerging Mkts","None","-19.335060000000002%","41.79%","False","3.11875%","11.48%","False","4.85362%","12.1800005%","False","2.3612298%","4.3899998%","False","0.9829","0.0","$9.83","$8.52","$11.54","$10.09","True","$9.70945","False","N/A","N/A"
GIGIX,"Aberdeen International Equity F","2004-06-28","Aberdeen","Diversified Emerging Mkts","None","-24.7511%","41.79%","False","-4.63891%","11.48%","False","2.28669%","12.1800005%","False","0.97038%","4.3899998%","False","0.9834","0.0","$10.92","$9.48","$12.79","$11.199","True","$10.7892","False","N/A","N/A"
GIGSX,"Aberdeen International Equity F","2000-08-29","Aberdeen","Diversified Emerging Mkts","None","-24.80394%","41.79%","False","-4.70243%","11.48%","False","2.2295599999999998%","12.1800005%","False","0.88483%","4.3899998%","False","0.9834","0.0","$10.83","$9.41","$12.71","$11.1082","True","$10.7142","False","N/A","N/A"
BJBIX,"Aberdeen Select International E","1993-10-03","Aberdeen","Foreign Large Growth","None","-28.876382%","34.5%","False","-3.3429797999999997%","13.81%","False","3.6612199999999997%","13.83%","False","1.81219%","8.2200006%","False","0.97239995","0.0","$23.619999","$20.47","$28.73","$23.8032","True","$23.40185","False","N/A","N/A"
JIEIX,"Aberdeen Select International E","1999-11-16","Aberdeen","Foreign Large Growth","None","-28.189500000000002%","34.5%","False","-2.60099%","13.81%","False","3.9949%","13.83%","False","2.1771599999999998%","8.2200006%","False","0.97239995","0.0","$24.359999","$21.13","$29.61","$24.5508","True","$24.139","False","N/A","N/A"
JOEIX,"JOHCM Emerging Markets Opportun","2012-11-19","JOHCM Funds","Diversified Emerging Mkts","None","-15.49775%","41.79%","False","-0.21459999999999999%","11.48%","False","5.11968%","12.1800005%","False","2.97053%","4.3899998%","False","0.97","0.0","$10.63","$9.57","$11.76","$10.7466","True","$10.4221","False","N/A","N/A"
JOEMX,"JOHCM Emerging Markets Opportun","2012-11-19","JOHCM Funds","Diversified Emerging Mkts","None","-10.1841494%","41.79%","False","4.19738%","11.48%","False","7.65798%","12.1800005%","False","0.0%","4.3899998%","False","0.9605","0.0","$10.66","$9.6","$11.79","$10.772","True","$10.4503","False","N/A","N/A"
JOHIX,"JOHCM International Select Fund","2009-07-28","JOHCM Funds","Foreign Large Growth","None","-6.65671%","34.5%","False","8.762730000000001%","13.81%","False","9.0965405%","13.83%","False","9.19455%","8.2200006%","True","0.97730005","0.0","$21.2","$17.56","$26.21","$21.0958","False","$20.47965","False","N/A","N/A"
JOHAX,"JOHCM International Select Fund","2010-03-30","JOHCM Funds","Foreign Large Growth","None","-32.458383000000005%","34.5%","False","-1.72373%","13.81%","False","4.01879%","13.83%","False","6.39402%","8.2200006%","False","0.98300004","0.0","$21.25","$17.55","$26.23","$21.1544","False","$20.49465","False","N/A","N/A"
HHDTX,"Hancock Horizon Diversified Int","2008-09-29","Hancock Horizon","Foreign Large Blend","None","49.56792%","33.76%","True","9.04994%","8.5%","True","9.6554205%","10.08%","False","7.22495%","5.8000002%","True","0.9757","0.0","$26.79","$20.54","$29.77","$28.149412","True","$28.420656","True","N/A","N/A"
HHDAX,"Hancock Horizon Diversified Int","2008-09-29","Hancock Horizon","Foreign Large Blend","None","49.46405%","33.76%","True","8.919211%","8.5%","True","9.46517%","10.08%","False","7.0074103999999995%","5.8000002%","True","0.9757","0.0","$26.87","$20.57","$29.83","$28.217941","True","$28.485912","True","N/A","N/A"
AEMGX,"Acadian Emerging Markets Portfo","1993-06-16","Acadian Funds","Diversified Emerging Mkts","None","-17.44652%","41.79%","False","1.4506%","11.48%","False","3.3965799999999997%","12.1800005%","False","1.8531099%","4.3899998%","False","1.0227","0.0","$18.36","$16.37","$23.19","$18.5444","True","$18.66405","True","N/A","N/A"
CAMYX,"Cambiar International Equity Fu","2012-11-29","Cambiar Funds","Foreign Large Blend","None","-10.232230000000001%","33.76%","False","-2.41763%","8.5%","False","1.5830600000000001%","10.08%","False","3.04912%","5.8000002%","False","1.0061","0.0","$22.94","$19.07","$26.05","$23.109","True","$22.05335","False","N/A","N/A"
CAMIX,"Cambiar Funds International Equ","2002-09-08","Cambiar Funds","Foreign Large Blend","None","-10.3105895%","33.76%","False","-2.52188%","8.5%","False","1.4691400000000001%","10.08%","False","2.9068401%","5.8000002%","False","1.0061","0.0","$22.93","$19.05","$26.02","$23.091","True","$22.0273","False","N/A","N/A"
MKIEX,"McKee International Equity Port","1994-05-25","CS McKee","Foreign Large Blend","None","2.1918298999999997%","33.76%","False","6.66347%","8.5%","False","6.00626%","10.08%","False","4.8689097%","5.8000002%","False","0.9899","0.0","$0.7","$0.695","$8.94","$3.9561","True","$6.6834445","True","N/A","N/A"
AADR,"AdvisorShares Dorsey Wright","2010-07-19","AdvisorShares","Foreign Large Growth","Exchange Traded Fund","-14.573459999999999%","10.47%","False","0.79728%","2.33%","False","2.50288%","8.2399994%","False","4.8957500000000005%","2.4300002000000003%","True","0.996","0.0","$49.29","$43.35","$61.15","$49.014","False","$49.21615","False","N/A","$49.97"
IEGAX,"Invesco International Small Com","2000-08-30","Invesco","Foreign Small/Mid Blend","None","-10.85107%","43.3%","False","5.12789%","7.71%","False","6.8386406%","11.0%","False","4.40032%","7.08%","False","0.8832","0.0","$18.93","$16.31","$20.45","$18.8492","False","$18.28725","False","21.0%","N/A"
IEGCX,"Invesco International Small Com","2000-08-30","Invesco","Foreign Small/Mid Blend","None","-11.54528%","43.3%","False","4.33563%","7.71%","False","6.04038%","11.0%","False","3.6180302999999996%","7.08%","False","0.8832","0.0","$17.85","$15.33","$19.29","$17.7846","False","$17.21255","False","21.0%","N/A"
IEGIX,"Invesco International Small Com","2005-10-24","Invesco","Foreign Small/Mid Blend","None","5.32328%","43.3%","False","11.6208896%","7.71%","True","9.58431%","11.0%","False","6.4054899999999995%","7.08%","False","0.8957","0.0","$18.76","$16.2","$20.27","$18.674","False","$18.149","False","21.0%","N/A"
IEGFX,"Invesco International Small Com","2012-09-23","Invesco","Foreign Small/Mid Blend","None","-10.477590000000001%","43.3%","False","5.58026%","7.71%","False","7.305140000000001%","11.0%","False","4.8453797%","7.08%","False","0.8832","0.0","$18.75","$16.19","$20.26","$18.6584","False","$18.13835","False","21.0%","N/A"
IEGYX,"Invesco International Small Com","2008-10-02","Invesco","Foreign Small/Mid Blend","None","-10.65453%","43.3%","False","5.39675%","7.71%","False","7.0994399999999995%","11.0%","False","4.66083%","7.08%","False","0.8832","0.0","$18.96","$16.36","$20.48","$18.8766","False","$18.33345","False","21.0%","N/A"
OIDAX,"Invesco International Diversifi","2005-09-26","Invesco","Foreign Large Growth","None","-25.17869%","34.5%","False","-2.24899%","13.81%","False","4.67851%","13.83%","False","4.48668%","8.2200006%","False","0.9217","0.0","$14.940001","$13.91","$18.89","$14.9008","False","$15.58725","True","N/A","N/A"
OIDCX,"Invesco International Diversifi","2005-09-26","Invesco","Foreign Large Growth","None","-25.72696%","34.5%","False","-2.9648999999999996%","13.81%","False","3.8977302999999996%","13.83%","False","3.70953%","8.2200006%","False","0.9217","0.0","$13.97","$13.03","$17.94","$13.9516","False","$14.7215","True","N/A","N/A"
OIDNX,"Invesco International Diversifi","2005-09-26","Invesco","Foreign Large Growth","None","-25.372220000000002%","34.5%","False","-2.4941199000000003%","13.81%","False","4.41501%","13.83%","False","4.2179%","8.2200006%","False","0.9217","0.0","$14.570001","$13.58","$18.53","$14.541","False","$15.2577","True","N/A","N/A"
OIDIX,"Invesco International Diversifi","2012-08-27","Invesco","Foreign Large Growth","None","-24.8747%","34.5%","False","-1.8655699000000001%","13.81%","False","5.10506%","13.83%","False","4.97131%","8.2200006%","False","0.9217","0.0","$15.2699995","$14.22","$19.27","$15.2326","False","$15.92685","True","N/A","N/A"
OIDYX,"Invesco International Diversifi","2005-09-26","Invesco","Foreign Large Growth","None","-10.45278%","34.5%","False","6.54305%","13.81%","False","7.42803%","13.83%","False","7.08186%","8.2200006%","False","0.96730006","0.0","$15.190001","$14.14","$19.16","$15.1462","False","$15.8298","True","N/A","N/A"
QIVAX,"Invesco International Equity Fu","1990-07-01","Invesco","Foreign Large Blend","None","-19.826430000000002%","33.76%","False","-1.56694%","8.5%","False","3.78659%","10.08%","False","3.94121%","5.8000002%","False","0.911","0.0","$21.119999","$17.64","$23.48","$20.8956","False","$20.0155","False","N/A","N/A"
QIVCX,"Invesco International Equity Fu","1993-08-31","Invesco","Foreign Large Blend","None","-20.41198%","33.76%","False","-2.28409%","8.5%","False","3.01029%","10.08%","False","3.1616600000000004%","5.8000002%","False","0.911","0.0","$18.72","$15.54","$20.76","$18.5274","False","$17.67185","False","N/A","N/A"
QIVNX,"Invesco International Equity Fu","2001-02-28","Invesco","Foreign Large Blend","None","-20.02368%","33.76%","False","-1.81049%","8.5%","False","3.52414%","10.08%","False","3.67684%","5.8000002%","False","0.911","0.0","$20.84","$17.37","$23.15","$20.6182","False","$19.7228","False","N/A","N/A"
QIVYX,"Invesco International Equity Fu","2008-11-12","Invesco","Foreign Large Blend","None","-8.7076195%","33.76%","False","7.32867%","8.5%","False","6.7578404999999995%","10.08%","False","6.858740000000001%","5.8000002%","True","0.96830004","0.0","$21.289999","$17.82","$23.7","$21.0572","False","$20.2081","False","N/A","N/A"
AIIEX,"Invesco International Growth Fu","1992-04-06","Invesco","Foreign Large Growth","None","-18.949829%","34.5%","False","-1.14871%","13.81%","False","4.43508%","13.83%","False","4.0502400000000005%","8.2200006%","False","0.97830003","0.0","$21.18","$19.23","$24.84","$20.935","False","$21.3067","True","383.0%","N/A"
AIECX,"Invesco International Growth Fu","1997-08-03","Invesco","Foreign Large Growth","None","-19.542651%","34.5%","False","-1.8853901%","13.81%","False","3.65587%","13.83%","False","3.2747800000000002%","8.2200006%","False","0.97830003","0.0","$17.92","$16.62","$21.57","$17.724","False","$18.3382","True","383.0%","N/A"
AIERX,"Invesco International Growth Fu","2002-06-02","Invesco","Foreign Large Growth","None","-19.14957%","34.5%","False","-1.39831%","13.81%","False","4.17701%","13.83%","False","3.79471%","8.2200006%","False","0.97830003","0.0","$20.68","$18.85","$24.37","$20.4502","False","$20.8675","True","383.0%","N/A"
AIEVX,"Invesco International Growth Fu","2002-03-14","Invesco","Foreign Large Growth","None","-18.655340000000002%","34.5%","False","-0.81755%","13.81%","False","4.788250000000001%","13.83%","False","4.4058397%","8.2200006%","False","0.97830003","0.0","$21.85","$19.79","$25.51","$21.5888","False","$21.92865","True","383.0%","N/A"
IGFRX,"Invesco International Growth Fu","2012-09-23","Invesco","Foreign Large Growth","None","-18.045941%","34.5%","False","-0.36939%","13.81%","False","4.83824%","13.83%","False","4.5440002999999995%","8.2200006%","False","0.97830003","0.0","$21.75","$19.73","$25.43","$21.4982","False","$21.85645","True","383.0%","N/A"
AIIYX,"Invesco International Growth Fu","2008-10-02","Invesco","Foreign Large Growth","None","-8.00945%","34.5%","False","6.5375000000000005%","13.81%","False","5.87359%","13.83%","False","5.74296%","8.2200006%","False","0.9739","0.0","$21.27","$19.31","$24.91","$21.0264","False","$21.3913","True","383.0%","N/A"
IBVAX,"Invesco International Core Equi","2002-03-27","Invesco","Foreign Large Blend","None","-9.15464%","33.76%","False","3.5717297%","8.5%","False","5.11412%","10.08%","False","4.10841%","5.8000002%","False","0.9998","0.0","$12.26","$9.59","$12.58","$12.1282","False","$11.2135","False","N/A","N/A"
IBVCX,"Invesco International Core Equi","2000-02-13","Invesco","Foreign Large Blend","None","-9.80363%","33.76%","False","2.8157402%","8.5%","False","4.33602%","10.08%","False","3.3280700000000003%","5.8000002%","False","0.9998","0.0","$12.03","$9.38","$12.35","$11.91","False","$10.98875","False","N/A","N/A"
IIBRX,"Invesco International Core Equi","2003-11-23","Invesco","Foreign Large Blend","None","-9.38994%","33.76%","False","3.2883503000000003%","8.5%","False","4.85089%","10.08%","False","3.8423400000000005%","5.8000002%","False","0.9998","0.0","$12.320001","$9.62","$12.65","$12.1962","False","$11.2656","False","N/A","N/A"
IBVFX,"Invesco International Core Equi","2012-09-23","Invesco","Foreign Large Blend","None","-9.00966%","33.76%","False","3.7880700000000003%","8.5%","False","5.37184%","10.08%","False","4.46129%","5.8000002%","False","0.9998","0.0","$12.13","$9.51","$12.45","$12.0018","False","$11.1121","False","N/A","N/A"
IBVYX,"Invesco International Core Equi","2008-10-02","Invesco","Foreign Large Blend","None","-8.9851%","33.76%","False","3.80131%","8.5%","False","5.3715%","10.08%","False","4.36016%","5.8000002%","False","0.9998","0.0","$12.5","$9.78","$12.82","$12.3618","False","$11.4387","False","N/A","N/A"
IBVIX,"Invesco International Core Equi","2004-04-29","Invesco","Foreign Large Blend","None","-8.931559%","33.76%","False","3.81745%","8.5%","False","5.3696297%","10.08%","False","4.45518%","5.8000002%","False","0.9998","0.0","$12.14","$9.51","$12.46","$12.0098","False","$11.1192","False","N/A","N/A"
IIBCX,"Invesco International Core Equi","1998-10-27","Invesco","Foreign Large Blend","None","-9.20906%","33.76%","False","3.5650898%","8.5%","False","5.10093%","10.08%","False","4.09413%","5.8000002%","False","0.9998","0.0","$12.5","$9.77","$12.83","$12.3684","False","$11.432","False","N/A","N/A"
OIGAX,"Invesco Oppenheimer Internation","1996-03-24","Invesco","Foreign Large Growth","None","-27.12197%","34.5%","False","-0.56986%","13.81%","False","4.31534%","13.83%","False","4.1427102%","8.2200006%","False","0.9817","0.0","$35.19","$28.79","$38.91","$35.3122","True","$33.38145","False","0.0%","N/A"
OIGCX,"Invesco Oppenheimer Internation","1996-03-24","Invesco","Foreign Large Growth","None","-27.68536%","34.5%","False","-1.3224%","13.81%","False","3.53322%","13.83%","False","3.36155%","8.2200006%","False","0.9817","0.0","$32.02","$26.29","$35.65","$32.1574","True","$30.46805","False","0.0%","N/A"
OIGNX,"Invesco Oppenheimer Internation","2001-02-28","Invesco","Foreign Large Growth","None","-27.2993%","34.5%","False","-0.8162400000000001%","13.81%","False","4.0580403%","13.83%","False","3.8827599999999998%","8.2200006%","False","0.9817","0.0","$34.04","$27.89","$37.73","$34.1702","True","$32.32655","False","0.0%","N/A"
OIGIX,"Invesco Oppenheimer Internation","2012-03-28","Invesco","Foreign Large Growth","None","-26.82849%","34.5%","False","-0.16867%","13.81%","False","4.7467098%","13.83%","False","4.5868102%","8.2200006%","False","0.9817","0.0","$34.960003","$28.63","$38.6","$35.068","True","$33.1692","False","0.0%","N/A"
ODMAX,"Invesco Developing Markets Fund","1996-11-17","Invesco","Diversified Emerging Mkts","None","-24.74077%","41.79%","False","-6.79574%","11.48%","False","2.99349%","12.1800005%","False","1.18139%","4.3899998%","False","0.9489","0.0","$38.94","$30.7","$41.79","$38.1184","False","$35.9432","False","0.0%","N/A"
ODVCX,"Invesco Developing Markets Fund","1996-11-17","Invesco","Diversified Emerging Mkts","None","-25.32235%","41.79%","False","-7.4977495%","11.48%","False","2.21508%","12.1800005%","False","0.42810000000000004%","4.3899998%","False","0.9489","0.0","$35.17","$27.68","$37.84","$34.452","False","$32.45605","False","0.0%","N/A"
ODVNX,"Invesco Developing Markets Fund","2001-02-28","Invesco","Diversified Emerging Mkts","None","-24.92795%","41.79%","False","-7.03077%","11.48%","False","2.72981%","12.1800005%","False","0.91976%","4.3899998%","False","0.9489","0.0","$37.149998","$29.22","$39.83","$36.3696","False","$34.2434","False","0.0%","N/A"
ODVIX,"Invesco Developing Markets Fund","2011-12-28","Invesco","Diversified Emerging Mkts","None","-24.43941%","41.79%","False","-6.427810000000001%","11.48%","False","3.40827%","12.1800005%","False","1.61198%","4.3899998%","False","0.9489","0.0","$38.219997","$30.27","$41.11","$37.4018","False","$35.3745","False","0.0%","N/A"
ODVYX,"Invesco Developing Markets Fund","2005-09-06","Invesco","Diversified Emerging Mkts","None","-24.543831%","41.79%","False","-6.5595799999999995%","11.48%","False","3.24645%","12.1800005%","False","1.4421199%","4.3899998%","False","0.9489","0.0","$38.26","$30.24","$41.11","$37.4422","False","$35.36925","False","0.0%","N/A"
GTDDX,"Invesco Emerging Markets All Ca","1994-01-10","Invesco","Diversified Emerging Mkts","None","-20.769449%","41.79%","False","2.63122%","11.48%","False","5.6835197%","12.1800005%","False","2.1405%","4.3899998%","False","0.9285","0.0","$33.29","$27.11","$34.31","$32.9752","False","$30.68485","False","N/A","N/A"
GTDCX,"Invesco Emerging Markets All Ca","1999-02-28","Invesco","Diversified Emerging Mkts","None","-18.253890000000002%","41.79%","False","-4.29913%","11.48%","False","2.8044902%","12.1800005%","False","0.5176699699999999%","4.3899998%","False","0.951","0.0","$32.62","$26.39","$33.65","$32.3374","False","$29.95895","False","N/A","N/A"
GTDIX,"Invesco Emerging Markets All Ca","2005-10-24","Invesco","Diversified Emerging Mkts","None","-17.394409%","41.79%","False","-3.2903097999999997%","11.48%","False","3.9100900000000003%","12.1800005%","False","1.6302899999999998%","4.3899998%","False","0.951","0.0","$33.140003","$27.06","$34.15","$32.8214","False","$30.593","False","N/A","N/A"
GTDFX,"Invesco Emerging Markets All Ca","2012-09-23","Invesco","Diversified Emerging Mkts","None","-17.36298%","41.79%","False","-3.2211299999999996%","11.48%","False","3.9801200000000003%","12.1800005%","False","1.6835200000000001%","4.3899998%","False","0.951","0.0","$33.11","$27.05","$34.12","$32.7922","False","$30.57745","False","N/A","N/A"
GTDYX,"Invesco Emerging Markets All Ca","2008-10-02","Invesco","Diversified Emerging Mkts","None","-17.44957%","41.79%","False","-3.3385202000000005%","11.48%","False","3.8340699999999996%","12.1800005%","False","1.52666%","4.3899998%","False","0.951","0.0","$33.260002","$27.13","$34.28","$32.9418","False","$30.69005","False","N/A","N/A"
