Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
HYBUX,"Hancock Horizon Burkenroad Smal","2001-12-30","Hancock Horizon","Small Blend","None","54.507726%","60.18%","False","3.98074%","11.3199994%","False","8.5009806%","13.88%","False","11.402809999999999%","11.1899994%","True","0.9963","0.0","$30.710001","$28.24","$40.37","$35.352352","True","$37.817444","True","N/A","N/A"
HHBUX,"Hancock Horizon Burkenroad Fund","2001-12-30","Hancock Horizon","Small Blend","None","54.878510000000006%","60.18%","False","4.25494%","11.3199994%","False","8.6758606%","13.88%","False","11.62344%","11.1899994%","True","0.9963","0.0","$33.96","$30.36","$43.73","$38.59941","True","$41.041897","True","N/A","N/A"
CAMZX,"Cambiar Small Cap Fund - Insti ","2008-10-30","Cambiar Funds","Small Blend","None","4.1965097%","60.18%","False","13.38638%","11.3199994%","True","10.25896%","13.88%","False","8.28711%","11.1899994%","False","0.9914","0.0","$16.24","$13.54","$16.99","$15.8444","False","$15.05775","False","N/A","N/A"
CAMSX,"Cambiar Small Cap Fund Investor","2004-08-30","Cambiar Funds","Small Blend","None","0.33360999999999996%","60.18%","False","6.7170404%","11.3199994%","False","6.3903%","13.88%","False","7.24745%","11.1899994%","False","0.9428","0.0","$15.56","$12.96","$16.28","$15.182","False","$14.4194","False","N/A","N/A"
THBIX,"THB Asset Management MicroCap F","2012-03-29","Victory Capital","Small Blend","None","-5.5796098%","60.18%","False","10.84561%","11.3199994%","False","7.8568704%","13.88%","False","9.0241%","11.1899994%","False","0.9917","0.0","$19.849998","$16.17","$21.34","$19.093","False","$18.29355","False","N/A","N/A"
THBVX,"THB Asset Management MicroCap F","2012-03-29","Victory Capital","Small Blend","None","-6.028370000000001%","60.18%","False","10.3360206%","11.3199994%","False","7.38504%","13.88%","False","8.52267%","11.1899994%","False","0.9917","0.0","$18.76","$15.31","$20.25","$18.0518","False","$17.31955","False","N/A","N/A"
WHGSX,"Westwood SmallCap Fund Institut","2007-04-01","Westwood","Small Blend","None","-11.55789%","60.18%","False","5.05959%","11.3199994%","False","6.07034%","13.88%","False","10.20241%","11.1899994%","False","1.0","0.0","$19.439999","$16.63","$20.37","$19.1504","False","$18.63725","False","N/A","N/A"
WHGMX,"Westwood SMidCap Fund Instituti","2005-12-18","Westwood","Small Blend","None","-9.71949%","60.18%","False","5.2575997999999995%","11.3199994%","False","6.53132%","13.88%","False","8.13133%","11.1899994%","False","0.9951","0.0","$13.57","$11.56","$14.26","$13.3096","False","$12.82985","False","N/A","N/A"
SMEAX,"Invesco Small Cap Equity Class ","2000-08-30","Invesco","Small Blend","None","-20.192641000000002%","60.18%","False","6.84235%","11.3199994%","False","6.35434%","13.88%","False","7.79075%","11.1899994%","False","0.9618","0.0","$12.63","$10.81","$13.91","$12.2752","False","$11.98335","False","90.0%","N/A"
SMECX,"Invesco Small Cap Equity Fund C","2000-08-30","Invesco","Small Blend","None","-20.79708%","60.18%","False","6.04693%","11.3199994%","False","5.56541%","13.88%","False","6.98305%","11.1899994%","False","0.9618","0.0","$7.9","$6.91","$8.9","$7.679","False","$7.60835","False","90.0%","N/A"
SMERX,"Invesco Small Cap Equity Fund C","2002-06-02","Invesco","Small Blend","None","-20.41254%","60.18%","False","6.58245%","11.3199994%","False","6.08995%","13.88%","False","7.5272895%","11.1899994%","False","0.9618","0.0","$11.14","$9.59","$12.34","$10.831","False","$10.61145","False","90.0%","N/A"
SMEIX,"Invesco Small Cap Equity Fund C","2005-04-28","Invesco","Small Blend","None","-19.91537%","60.18%","False","7.2741896%","11.3199994%","False","6.7854399999999995%","13.88%","False","8.23217%","11.1899994%","False","0.9618","0.0","$15.14","$12.87","$16.53","$14.7092","False","$14.29245","False","90.0%","N/A"
SMEFX,"Invesco Small Cap Equity Fund C","2012-09-23","Invesco","Small Blend","None","-19.850211%","60.18%","False","7.32033%","11.3199994%","False","6.85262%","13.88%","False","8.3109796%","11.1899994%","False","0.9618","0.0","$15.34","$13.02","$16.73","$14.9018","False","$14.47335","False","90.0%","N/A"
SMEYX,"Invesco Small Cap Equity Fund C","2008-10-02","Invesco","Small Blend","None","-3.8580301999999995%","60.18%","False","15.32956%","11.3199994%","True","11.219050999999999%","13.88%","False","9.9905595%","11.1899994%","False","0.9768","0.0","$13.56","$11.57","$14.87","$13.18","False","$12.83935","False","90.0%","N/A"
ATIAX,"Invesco Select Companies Fd A S","2003-11-03","Invesco","Small Blend","None","84.400004%","60.18%","True","9.229999999999999%","11.3199994%","False","8.1499994%","13.88%","False","9.35%","11.1899994%","False","0.9922","0.0","$15.7300005","$12.31","$17.88","$15.60069","False","$15.465725","False","N/A","N/A"
ATICX,"Invesco Select Companies Fd C S","2003-11-03","Invesco","Small Blend","None","83.08%","60.18%","True","8.41%","11.3199994%","False","7.340000000000001%","13.88%","False","8.53%","11.1899994%","False","0.9922","0.0","$11.46","$9.74","$14.3","$11.365518","False","$11.656641","True","N/A","N/A"
ATIRX,"Invesco  Select Companies Fd R ","2004-04-29","Invesco","Small Blend","None","83.839995%","60.18%","True","8.959999999999999%","11.3199994%","False","7.88%","13.88%","False","9.08%","11.1899994%","False","0.9922","0.0","$14.36","$11.53","$16.73","$14.238966","False","$14.242214","False","N/A","N/A"
ATIIX,"Invesco Select Companies Fd Cl ","2004-04-29","Invesco","Small Blend","None","84.96000000000001%","60.18%","True","9.62%","11.3199994%","False","8.53%","13.88%","False","9.729999%","11.1899994%","False","0.9922","0.0","$17.84","$13.48","$19.63","$17.687931","False","$17.338932","False","N/A","N/A"
ATIYX,"Invesco Select Companies Fd Y S","2008-10-02","Invesco","Small Blend","None","84.910005%","60.18%","True","9.520000000000001%","11.3199994%","False","8.430000399999999%","13.88%","False","9.629999999999999%","11.1899994%","False","0.9922","0.0","$16.560001","$12.76","$18.56","$16.42207","False","$16.199848","False","N/A","N/A"
AZSAX,"American Beacon Zebra Small Cap","2010-05-31","American Beacon","Small Blend","None","-19.316959999999998%","60.18%","False","2.8380102000000003%","11.3199994%","False","4.4601798%","13.88%","False","9.09746%","11.1899994%","False","0.9739","0.0","$12.04","$10.89","$14.27","$11.7886","False","$12.1853","True","N/A","N/A"
AZSCX,"American Beacon Zebra Small Cap","2010-08-31","American Beacon","Small Blend","None","-19.94099%","60.18%","False","2.0197100999999997%","11.3199994%","False","3.65933%","13.88%","False","8.26659%","11.1899994%","False","0.9739","0.0","$10.809999","$9.8","$13.02","$10.5966","False","$11.04935","True","N/A","N/A"
AZSIX,"American Beacon Zebra Small Cap","2010-05-31","American Beacon","Small Blend","None","3.59132%","60.18%","False","11.575299999999999%","11.3199994%","True","11.759559999999999%","13.88%","False","11.3607906%","11.1899994%","True","0.9928","0.0","$12.42","$11.2","$14.65","$12.162","False","$12.5374","True","N/A","N/A"
AZSYX,"American Beacon Zebra Small Cap","2010-05-31","American Beacon","Small Blend","None","-19.16978%","60.18%","False","3.06894%","11.3199994%","False","4.7359098%","13.88%","False","9.416351%","11.1899994%","False","0.9739","0.0","$12.5","$11.27","$14.75","$12.2382","False","$12.61535","True","N/A","N/A"
AZSPX,"American Beacon Zebra Small Cap","2010-05-31","American Beacon","Small Blend","None","-19.37012%","60.18%","False","2.80535%","11.3199994%","False","4.4530902%","13.88%","False","9.11851%","11.1899994%","False","0.9739","0.0","$11.99","$10.85","$14.23","$11.7454","False","$12.14445","True","N/A","N/A"
ASQAX,"American Century Small Company ","2000-09-06","American Century Investments","Small Blend","None","-10.564900000000002%","60.18%","False","6.368790000000001%","11.3199994%","False","4.74695%","13.88%","False","7.6921100000000004%","11.1899994%","False","0.994","0.0","$13.45","$11.37","$15.15","$13.164","False","$12.779","False","N/A","N/A"
ASQCX,"American Century Small Company ","2010-02-28","American Century Investments","Small Blend","None","-11.2311%","60.18%","False","5.5508398%","11.3199994%","False","3.95811%","13.88%","False","6.88936%","11.1899994%","False","0.994","0.0","$12.29","$10.42","$13.93","$12.0356","False","$11.70925","False","N/A","N/A"
ASCQX,"American Century Small Company ","1999-09-30","American Century Investments","Small Blend","None","-10.08202%","60.18%","False","6.88271%","11.3199994%","False","5.23636%","13.88%","False","8.18999%","11.1899994%","False","0.994","0.0","$14.0199995","$11.85","$15.78","$13.7166","False","$13.31785","False","N/A","N/A"
ASQIX,"American Century Small Company ","1998-07-30","American Century Investments","Small Blend","None","-10.3980504%","60.18%","False","6.61997%","11.3199994%","False","4.9998697000000005%","13.88%","False","7.961430399999999%","11.1899994%","False","0.994","0.0","$13.93","$11.77","$15.68","$13.6232","False","$13.2262","False","N/A","N/A"
ASCRX,"American Century Small Company ","2003-08-28","American Century Investments","Small Blend","None","-10.790379%","60.18%","False","6.11514%","11.3199994%","False","4.4878803000000005%","13.88%","False","7.429919999999999%","11.1899994%","False","0.994","0.0","$12.940001","$10.95","$14.6","$12.6628","False","$12.30135","False","N/A","N/A"
ACRTX,"AMG Managers Silvercrest Small ","2011-12-26","AMG Funds","Small Blend","None","46.92%","60.18%","False","7.61%","11.3199994%","False","9.770001%","13.88%","False","0.0%","11.1899994%","False","0.9836","0.0","$13.94","$12.76","$20.81","$13.790968","False","$15.273806","True","N/A","N/A"
ASCTX,"AMG Managers Silvercrest Small ","2011-12-26","AMG Funds","Small Blend","None","46.51%","60.18%","False","7.31%","11.3199994%","False","9.4799995%","13.88%","False","0.0%","11.1899994%","False","0.9836","0.0","$13.66","$12.59","$20.54","$13.513226","False","$15.007835","True","N/A","N/A"
GWEIX,"AMG GW&K Small Cap Core Fund - ","2009-07-26","AMG Funds","Small Blend","None","-16.32341%","60.18%","False","6.305969999999999%","11.3199994%","False","8.58362%","13.88%","False","10.80126%","11.1899994%","False","0.95879996","0.0","$30.24","$25.84","$32.0","$29.8124","False","$28.6629","False","73.0%","N/A"
GWETX,"AMG GW&K Small Cap Core Fund - ","1996-12-09","AMG Funds","Small Blend","None","-16.63341%","60.18%","False","5.9334204%","11.3199994%","False","8.2068%","13.88%","False","10.38557%","11.1899994%","False","0.95879996","0.0","$29.36","$25.11","$31.13","$28.953","False","$27.84225","False","73.0%","N/A"
SKSEX,"AMG Managers Skyline Special Eq","1987-04-22","AMG Funds","Small Blend","None","-16.237961000000002%","60.18%","False","5.5005003%","11.3199994%","False","4.4420198%","13.88%","False","8.72686%","11.1899994%","False","0.9901","0.0","$28.66","$24.17","$30.1","$27.5958","False","$26.7959","False","N/A","N/A"
SSSIX,"AMG SouthernSun Small Cap Fund ","2009-09-29","SouthernSun Asset Management","Small Blend","None","-2.0294499%","60.18%","False","11.1227505%","11.3199994%","False","8.4721096%","13.88%","False","8.21649%","11.1899994%","False","0.9307","0.0","$30.439999","$26.83","$32.66","$29.4834","False","$29.7036","False","N/A","N/A"
SSSFX,"AMG SouthernSun Small Cap Fund ","2003-09-30","SouthernSun Asset Management","Small Blend","None","-2.28218%","60.18%","False","10.84216%","11.3199994%","False","8.1973%","13.88%","False","8.02788%","11.1899994%","False","0.9307","0.0","$29.55","$26.16","$31.81","$28.6298","False","$28.9174","False","N/A","N/A"
BSVIX,"Baird SmallCap Value Fd Inst Cl","2012-04-30","Baird","Small Blend","None","-11.257530000000001%","60.18%","False","2.82505%","11.3199994%","False","3.9691802%","13.88%","False","7.035279999999999%","11.1899994%","False","0.951","0.0","$13.0","$11.39","$17.29","$12.515","False","$14.76735","True","N/A","N/A"
BSVSX,"Baird SmallCap Value Fd Inv Cl","2012-04-30","Baird","Small Blend","None","-11.448120000000001%","60.18%","False","2.59695%","11.3199994%","False","3.73284%","13.88%","False","6.7834%","11.1899994%","False","0.951","0.0","$12.92","$11.32","$17.25","$12.4434","False","$14.7083","True","N/A","N/A"
BDBKX,"iShares Russell 2000 Small-Cap ","2011-03-30","BlackRock","Small Blend","None","-22.166050000000002%","60.18%","False","2.3617499%","11.3199994%","False","5.4174498%","13.88%","False","9.0556%","11.1899994%","False","0.0","0.0","$21.91","$19.12","$24.62","$21.5174","False","$21.1231","False","N/A","N/A"
MASKX,"iShares Russell 2000 Small-Cap ","1997-04-08","BlackRock","Small Blend","None","-20.51173%","60.18%","False","3.1800299999999995%","11.3199994%","False","5.80475%","13.88%","False","9.2516005%","11.1899994%","False","0.9921","0.0","$21.839998","$19.05","$24.54","$21.4458","False","$21.0485","False","N/A","N/A"
MDSKX,"iShares Russell 2000 Small-Cap ","1997-04-08","BlackRock","Small Blend","None","-20.692511%","60.18%","False","2.9102900000000003%","11.3199994%","False","5.543839999999999%","13.88%","False","8.97652%","11.1899994%","False","0.9921","0.0","$21.86","$19.06","$24.56","$21.4756","False","$21.05425","False","N/A","N/A"
DSCVX,"BNY Mellon Opportunistic Small ","1993-12-28","BNY Mellon","Small Blend","None","-17.79012%","60.18%","False","4.4731103%","11.3199994%","False","5.39314%","13.88%","False","9.074200000000001%","11.1899994%","False","0.9815","0.0","$30.32","$26.36","$34.81","$29.7408","False","$29.4407","False","N/A","N/A"
DISSX,"BNY Mellon Smallcap Stock Index","1997-06-29","BNY Mellon","Small Blend","None","0.73272996%","60.18%","False","13.12509%","11.3199994%","True","12.50679%","13.88%","False","12.071990000000001%","11.1899994%","True","0.9971","0.0","$26.67","$24.12","$32.52","$26.2698","False","$27.85845","True","N/A","N/A"
DMVAX,"BNY Mellon Select Managers Smal","2008-12-16","BNY Mellon","Small Blend","None","-1.36147%","60.18%","False","9.544349500000001%","11.3199994%","False","7.7237%","13.88%","False","8.9359194%","11.1899994%","False","0.9853","0.0","$21.77","$19.61","$25.4","$21.337","False","$21.583","False","0.0%","N/A"
DMECX,"BNY Mellon Select Managers Smal","2008-12-16","BNY Mellon","Small Blend","None","-2.08969%","60.18%","False","8.735370000000001%","11.3199994%","False","6.926019999999999%","13.88%","False","8.13506%","11.1899994%","False","0.9853","0.0","$18.26","$16.55","$21.74","$17.9154","False","$18.29455","True","0.0%","N/A"
DMVIX,"BNY Mellon Select Managers Smal","2008-12-16","BNY Mellon","Small Blend","None","-1.09608%","60.18%","False","9.854390500000001%","11.3199994%","False","8.0510795%","13.88%","False","9.2758305%","11.1899994%","False","0.9853","0.0","$22.34","$20.13","$26.02","$21.8848","False","$22.14385","False","0.0%","N/A"
BOSOX,"Boston Trust Walden Small Cap F","2005-12-15","Boston Trust Walden Funds","Small Blend","None","7.5568800000000005%","60.18%","False","11.291519999999998%","11.3199994%","False","11.09365%","13.88%","False","10.69804%","11.1899994%","False","0.9927","0.0","$16.59","$14.57","$17.46","$16.3384","False","$16.03715","False","N/A","N/A"
BAUAX,"Brown Advisory Small-Cap Fundam","2011-07-27","Brown Advisory Funds","Small Blend","None","4.6399202%","60.18%","False","7.31387%","11.3199994%","False","6.556330000000001%","13.88%","False","8.73191%","11.1899994%","False","0.9636","0.0","$28.699999","$25.09","$30.13","$28.1292","False","$27.6966","False","N/A","N/A"
